User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement,iReady_Placement
436156,School5,3,Reading,623,Grade,4
436747,School1,3,Reading,594,Late,3
438800,School6,3,Reading,471,Grade,1
440662,School6,3,Reading,596,Late,3
441254,School14,3,Reading,558,Mid,3
442165,School11,3,Reading,561,Late,3
445829,School5,3,Reading,523,Early,3
450481,School5,3,Reading,586,Late,3
450588,School14,3,Reading,518,Early,3
453671,School6,3,Reading,554,Mid,3
459593,School6,3,Reading,551,Mid,3
465437,School14,3,Reading,562,Late,3
467356,School6,3,Reading,569,Late,3
468058,School6,3,Reading,545,Mid,3
470063,School11,3,Reading,625,Grade,4
471579,School3,3,Reading,515,Early,3
475254,School12,3,Reading,515,Early,3
478570,School14,3,Reading,423,Grade,1
481472,School12,3,Reading,535,Early,3
481844,School11,3,Reading,452,Grade,1
491435,School11,3,Reading,453,Grade,1
495510,School15,3,Reading,524,Early,3
497256,School3,3,Reading,569,Late,3
497275,School11,3,Reading,484,Grade,2
499610,School15,3,Reading,537,Early,3
500432,School6,3,Reading,576,Late,3
501197,School10,3,Reading,553,Mid,3
501885,School11,3,Reading,537,Early,3
503724,School6,3,Reading,492,Grade,2
504825,School11,3,Reading,648,Grade,6
505625,School11,3,Reading,596,Late,3
506633,School6,3,Reading,588,Late,3
512874,School14,3,Reading,593,Late,3
514448,School14,3,Reading,531,Early,3
515530,School11,3,Reading,496,Grade,2
516290,School11,3,Reading,669,Grade,6
517733,School1,3,Reading,621,Grade,4
518709,School12,3,Reading,560,Mid,3
519874,School15,3,Reading,560,Mid,3
520021,School1,3,Reading,519,Early,3
520104,School10,3,Reading,509,Grade,2
521852,School11,3,Reading,490,Grade,2
522683,School5,3,Reading,537,Early,3
524038,School10,3,Reading,507,Grade,2
534394,School11,3,Reading,574,Late,3
534630,School10,3,Reading,562,Late,3
535292,School5,3,Reading,508,Grade,2
535415,School11,3,Reading,377,Grade,0
536132,School11,3,Reading,529,Early,3
536522,School10,3,Reading,559,Mid,3
538158,School1,3,Reading,577,Late,3
539796,School1,3,Reading,634,Grade,5
540862,School11,3,Reading,567,Late,3
540950,School12,3,Reading,493,Grade,2
545538,School1,3,Reading,515,Early,3
545582,School3,3,Reading,537,Early,3
546062,School14,3,Reading,571,Late,3
546180,School14,3,Reading,449,Grade,1
548704,School6,3,Reading,582,Late,3
549966,School12,3,Reading,561,Late,3
551095,School11,3,Reading,596,Late,3
551714,School12,3,Reading,527,Early,3
552484,School11,3,Reading,537,Early,3
561814,School11,3,Reading,601,Late,3
562777,School14,3,Reading,522,Early,3
562783,School3,3,Reading,553,Mid,3
562888,School12,3,Reading,514,Early,3
564463,School6,3,Reading,477,Grade,2
565571,School12,3,Reading,574,Late,3
566682,School10,3,Reading,530,Early,3
571965,School10,3,Reading,529,Early,3
572110,School11,3,Reading,435,Grade,1
572393,School12,3,Reading,545,Mid,3
575644,School5,3,Reading,546,Mid,3
576415,School11,3,Reading,484,Grade,2
577066,School5,3,Reading,573,Late,3
581472,School5,3,Reading,503,Grade,2
585702,School6,3,Reading,539,Early,3
603584,School6,3,Reading,597,Late,3
604628,School12,3,Reading,531,Early,3
605067,School11,3,Reading,506,Grade,2
605252,School1,3,Reading,501,Grade,2
611214,School6,3,Reading,555,Mid,3
611805,School6,3,Reading,550,Mid,3
612225,School11,3,Reading,581,Late,3
614626,School12,3,Reading,502,Grade,2
614627,School6,3,Reading,552,Mid,3
615118,School5,3,Reading,476,Grade,2
615401,School1,3,Reading,563,Late,3
616154,School5,3,Reading,476,Grade,2
622320,School15,3,Reading,479,Grade,2
624901,School16,3,Reading,483,Grade,2
629684,School16,3,Reading,498,Grade,2
633830,School1,3,Reading,642,Grade,6
634176,School1,3,Reading,587,Late,3
634968,School14,3,Reading,487,Grade,2
637907,School14,3,Reading,610,Grade,4
638998,School5,3,Reading,559,Mid,3
640766,School11,3,Reading,583,Late,3
641257,School14,3,Reading,523,Early,3
643180,School6,3,Reading,511,Early,3
647530,School5,3,Reading,497,Grade,2
648607,School11,3,Reading,603,Grade,4
649430,School10,3,Reading,520,Early,3
653426,School12,3,Reading,545,Mid,3
653432,School12,3,Reading,554,Mid,3
653440,School6,3,Reading,602,Late,3
657297,School11,3,Reading,539,Early,3
657451,School3,3,Reading,496,Grade,2
658131,School14,3,Reading,399,Grade,0
660559,School14,3,Reading,460,Grade,1
664412,School5,3,Reading,551,Mid,3
665426,School10,3,Reading,544,Early,3
668251,School12,3,Reading,502,Grade,2
669843,School15,3,Reading,536,Early,3
