User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement
152045,School15,5,Reading,597,Early 5
152132,School12,4,Reading,593,Mid 4
152802,School13,7,Reading,620,Early 7
152804,School13,6,Reading,529,Grade 3
152926,School7,7,Reading,525,Grade 3
152933,School11,3,Reading,537,Early 3
153184,School11,3,Reading,636,Grade 5
153582,School13,8,Reading,643,Mid 8
153897,School1,4,Reading,556,Grade 3
154253,School6,4,Reading,532,Grade 3
154767,School7,7,Reading,632,Mid 7
154938,School14,5,Reading,520,Grade 3
154939,School6,3,Reading,568,Late 3
155366,School14,4,Reading,631,Grade 5
155819,School13,6,Reading,603,Early 6
156392,School12,3,Reading,596,Late 3
156799,School13,6,Reading,517,Grade 3
157153,School11,3,Reading,499,Grade 2
157196,School10,3,Reading,528,Early 3
157236,School7,6,Reading,508,Grade 3
157357,School8,8,Reading,626,Early 8
157408,School6,5,Reading,590,Early 5
157677,School1,4,Reading,568,Early 4
158270,School12,5,Reading,611,Mid 5
158370,School15,3,Reading,643,Grade 6
158592,School7,6,Reading,637,Mid 6
158613,School11,4,Reading,523,Grade 3
158654,School10,4,Reading,545,Grade 3
158854,School11,3,Reading,631,Grade 5
158911,School5,3,Reading,607,Grade 4
158958,School13,8,Reading,468,Grade 1
159133,School1,4,Reading,644,Grade 6
159143,School11,4,Reading,550,Grade 3
159459,School7,6,Reading,588,Grade 5
160144,School13,6,Reading,542,Grade 4
161253,School14,5,Reading,621,Mid 5
161519,School1,5,Reading,640,Late 5
161577,School8,6,Reading,560,Grade 4
161771,School8,8,Reading,553,Grade 4
162675,School1,5,Reading,618,Mid 5
162830,School7,6,Reading,554,Grade 4
163004,School7,6,Reading,665,Grade 7
163864,School8,6,Reading,678,Grade 8
164116,School7,7,Reading,583,Grade 6
164747,School8,8,Reading,655,Mid 8
165047,School13,6,Reading,569,Grade 5
165252,School13,8,Reading,604,Grade 7
165587,School1,3,Reading,639,Grade 5
165656,School5,4,Reading,582,Mid 4
165890,School8,8,Reading,594,Grade 7
166173,School3,5,Reading,518,Grade 3
166350,School11,3,Reading,586,Late 3
166469,School10,3,Reading,551,Mid 3
166570,School8,6,Reading,638,Mid 6
166653,School13,7,Reading,562,Grade 4
166831,School11,3,Reading,651,Grade 6
167628,School14,5,Reading,551,Grade 4
167852,School7,8,Reading,665,Mid 8
167858,School14,3,Reading,617,Grade 4
167940,School7,8,Reading,606,Grade 7
168018,School11,3,Reading,591,Late 3
168206,School7,7,Reading,589,Grade 6
168822,School10,4,Reading,542,Grade 3
168976,School7,7,Reading,525,Grade 3
169044,School8,7,Reading,524,Grade 3
169467,School1,4,Reading,542,Grade 3
169630,School7,7,Reading,674,Grade 8
169905,School10,3,Reading,537,Early 3
170023,School8,8,Reading,502,Grade 3
170175,School13,8,Reading,670,Late 8
170329,School3,3,Reading,513,Early 3
170764,School8,8,Reading,547,Grade 4
171466,School5,3,Reading,486,Grade 2
172392,School8,6,Reading,591,Grade 5
172623,School5,3,Reading,602,Late 3
173429,School12,5,Reading,709,Grade 8
173524,School1,4,Reading,520,Grade 3
173955,School10,5,Reading,554,Grade 4
174711,School1,4,Reading,605,Late 4
174785,School7,8,Reading,592,Grade 6
175054,School8,6,Reading,658,Grade 7
175188,School4,7,Reading,610,Early 7
175403,School2,4,Reading,528,Grade 3
175831,School13,7,Reading,591,Grade 6
176096,School8,7,Reading,628,Early 7
176192,School11,5,Reading,545,Grade 4
176523,School15,3,Reading,570,Late 3
177348,School6,5,Reading,592,Early 5
177357,School1,5,Reading,599,Early 5
177558,School8,6,Reading,609,Early 6
177845,School13,8,Reading,561,Grade 4
178166,School14,3,Reading,633,Grade 5
178251,School10,3,Reading,468,Grade 1
179204,School12,4,Reading,618,Late 4
179635,School1,5,Reading,611,Mid 5
179811,School12,5,Reading,545,Grade 4
179913,School10,3,Reading,484,Grade 2
180120,School13,8,Reading,584,Grade 6
180369,School8,6,Reading,544,Grade 4
180417,School14,3,Reading,491,Grade 2
180432,School6,5,Reading,643,Grade 6
181448,School13,6,Reading,574,Grade 5
181480,School7,6,Reading,634,Mid 6
181540,School7,6,Reading,586,Grade 5
182351,School12,3,Reading,628,Grade 4
182603,School7,8,Reading,614,Grade 7
182671,School13,6,Reading,588,Grade 5
183631,School7,8,Reading,528,Grade 3
183692,School6,5,Reading,568,Grade 4
183754,School7,7,Reading,663,Late 7
184119,School11,4,Reading,626,Late 4
184138,School14,4,Reading,511,Grade 3
184230,School3,5,Reading,588,Early 5
184367,School13,7,Reading,549,Grade 4
185145,School6,4,Reading,534,Grade 3
185284,School5,3,Reading,665,Grade 6
